# Bitwarden source lock and graph inventory

Generated at 2026-09-13T22:01:24.419185+00:00.

Repositories enumerated: 68. Initial clones use depth 1 on each default branch. Existing checkout policy is fetch then merge --ff-only only when clean.

| Repository | Branch | Remote commit | Local commit | Sync | KiB | Graph |
|---|---|---|---|---|---:|---|
| clients | main | `e40ce6f08ebf963db3561464e77b4defe05247e8` | `e40ce6f08ebf963db3561464e77b4defe05247e8` | CLONED_DEPTH_1 | 210924 | GRAPH_BUILT |
| sdk-internal | main | `6ad7094edb4f2d391c6468f1fdfe8ac474a3c7e1` | `6ad7094edb4f2d391c6468f1fdfe8ac474a3c7e1` | CLONED_DEPTH_1 | 19164 | GRAPH_BUILT |
| key-connector | main | `b7d76b899383e3522c68b1010f663dc488e6ac0e` | `b7d76b899383e3522c68b1010f663dc488e6ac0e` | CLONED_DEPTH_1 | 972 | GRAPH_BUILT |
| contributing-docs | main | `9e078b5b32a86ce5eeaee61aed8d41d68708d6ca` | `9e078b5b32a86ce5eeaee61aed8d41d68708d6ca` | CLONED_DEPTH_1 | 12028 | GRAPH_BUILT |
| passwordless-server | main | `1261a60945c199e2f53991dcec6e669e49c77330` | `1261a60945c199e2f53991dcec6e669e49c77330` | CLONED_DEPTH_1 | 19788 | GRAPH_BUILT |
| passwordless-docs | main | `a0963e8247844774e743e36c23b18da572587ef7` | `a0963e8247844774e743e36c23b18da572587ef7` | CLONED_DEPTH_1 | 10756 | GRAPH_BUILT |
| ios | main | `81be7a7fad5bcdad0c108957919daac6997f5fec` | `81be7a7fad5bcdad0c108957919daac6997f5fec` | CLONED_DEPTH_1 | 290988 | GRAPH_BUILT |
| gh-actions | main | `b05a37717d558616c348e76af8b9077cbbb8aff1` | `b05a37717d558616c348e76af8b9077cbbb8aff1` | CLONED_DEPTH_1 | 144656 | GRAPH_BUILT |
| splunk | main | `5277261976eec830ff630d37b70af73e7f799de8` | `5277261976eec830ff630d37b70af73e7f799de8` | CLONED_DEPTH_1 | 1972 | GRAPH_BUILT |
| passwordless-python | main | `6a533fbdf31ea6b783e59f0233a4b3f2a9cc14ca` | `6a533fbdf31ea6b783e59f0233a4b3f2a9cc14ca` | CLONED_DEPTH_1 | 940 | GRAPH_BUILT |
| renovate-config | main | `3166bbe4d2badeb2233502dce479c7d4a0d11997` | `3166bbe4d2badeb2233502dce479c7d4a0d11997` | CLONED_DEPTH_1 | 492 | GRAPH_BUILT |
| f-droid | main | `19bd963a06650ecf9aee624bcfd561ff819b5120` | `19bd963a06650ecf9aee624bcfd561ff819b5120` | CLONED_DEPTH_1 | 3327612 | GRAPH_BUILT |
